location,dept,a,b,c
CO VALLECITO DAM,94,8809.263157894737,9241.920634920634,9741.0
NV TUSCARORA,80,NaN,2.0,2.0
CO VALLECITO DAM,95,18751.678947368422,20166.81746031746,19931.14285714286
NV TUSCARORA,81,326.58288770053474,333.14736842105265,339.9767441860465
CO VALLECITO DAM,98,2290.294736842105,1844.4444444444443,1841.0
AK HIDDEN FALLS HATCHERY,20,546.0047169811321,667.8547008547008,NaN
AK HIDDEN FALLS HATCHERY,22,1314.5141509433963,990.1880341880342,NaN
AK HIDDEN FALLS HATCHERY,24,991.2169811320755,993.7948717948718,NaN
CO VALLECITO DAM,30,1076.1315789473683,1129.3333333333333,1083.0
AK HIDDEN FALLS HATCHERY,26,1229.5566037735848,866.4358974358975,NaN
CO VALLECITO DAM,32,2216.278947368421,1425.611111111111,1294.0
TN WHITE HOUSE,52,143.66666666666666,131.98888888888888,113.21527777777777
AK Granite Crk,2,5101.135135135135,5003.125,4888.5
AK HIDDEN FALLS HATCHERY,28,120.65566037735849,67.7008547008547,NaN
NV TUSCARORA,20,186.2139037433155,179.16842105263157,180.8139534883721
CO VALLECITO DAM,34,3289.0526315789475,3073.2936507936506,3185.0
NV TUSCARORA,22,420.11229946524065,301.85263157894735,249.67441860465115
AK Granite Crk,4,2959.1576576576576,2945.0576923076924,2996.0
CO VALLECITO DAM,36,333.1,351.46031746031747,420.2142857142857
TN WHITE HOUSE,54,16.455555555555556,12.202247191011235,7.846715328467154
AK Granite Crk,6,669.7297297297297,500.0576923076923,334.0
CO VALLECITO DAM,38,11401.631578947368,10756.095238095239,10798.714285714286
TN WHITE HOUSE,56,268.3958333333333,313.81111111111113,114.53472222222223
NV TUSCARORA,24,215.3048128342246,171.76842105263157,203.8139534883721
NV TUSCARORA,26,297.4812834224599,221.94736842105263,188.72093023255815
AK Granite Crk,8,3762.175675675676,3584.7403846153848,3552.0
NV TUSCARORA,28,40.49732620320856,26.71578947368421,21.209302325581394
AK HIDDEN FALLS HATCHERY,91,8707.650943396226,8977.68376068376,NaN
AK HIDDEN FALLS HATCHERY,93,9469.400943396226,9445.555555555555,NaN
AK HIDDEN FALLS HATCHERY,95,16206.528301886792,17716.726495726496,NaN
AK HIDDEN FALLS HATCHERY,97,4725.721698113208,4917.025641025641,NaN
AK HIDDEN FALLS HATCHERY,99,NaN,0.0,NaN
NV TUSCARORA,91,144.7058823529412,223.74736842105264,228.69767441860466
NV TUSCARORA,95,2411.128342245989,2839.5263157894738,2887.4186046511627
NV TUSCARORA,98,0.0,0.0,0.0
AK HIDDEN FALLS HATCHERY,32,1471.188679245283,962.0512820512821,NaN
AK HIDDEN FALLS HATCHERY,34,1721.8537735849056,1587.8034188034187,NaN
AK HIDDEN FALLS HATCHERY,1,3917.816037735849,2365.3504273504273,NaN
CO VALLECITO DAM,40,11227.842105263158,10410.126984126984,10269.142857142857
AK HIDDEN FALLS HATCHERY,3,1471.1132075471698,2473.4358974358975,NaN
AK HIDDEN FALLS HATCHERY,36,165.93867924528303,286.9230769230769,NaN
TN WHITE HOUSE,60,20.489583333333332,18.533333333333335,19.083333333333332
CO VALLECITO DAM,42,1272.5894736842106,1320.404761904762,1272.5
AK HIDDEN FALLS HATCHERY,38,12455.77358490566,12035.299145299145,NaN
CO VALLECITO DAM,44,835.8578947368421,705.5952380952381,637.1428571428571
NV TUSCARORA,30,138.00534759358288,143.02105263157895,150.46511627906978
AK HIDDEN FALLS HATCHERY,5,4135.830188679245,2510.25641025641,NaN
AK HIDDEN FALLS HATCHERY,8,5058.415094339623,4832.589743589743,NaN
NV TUSCARORA,33,240.66844919786095,212.98947368421054,243.11627906976744
CO VALLECITO DAM,47,20.392857142857142,1.7,4.0
NV TUSCARORA,35,185.50267379679144,188.57894736842104,162.41860465116278
NV TUSCARORA,2,1694.8395721925133,1736.2526315789473,1742.8372093023256
TN WHITE HOUSE,67,340.6354166666667,289.0444444444444,266.3333333333333
CO VALLECITO DAM,49,987.8947368421053,1033.7460317460318,847.7142857142857
NV TUSCARORA,4,1381.3582887700534,1405.6,1393.953488372093
NV TUSCARORA,6,289.96256684491976,185.83157894736843,142.25581395348837
NV TUSCARORA,8,1958.855614973262,1858.3052631578948,1812.6511627906978
CO VALLECITO DAM,96,4716.510526315789,4629.4047619047615,4644.857142857143
NV TUSCARORA,82,614.812834224599,491.4315789473684,478.6744186046512
AK HIDDEN FALLS HATCHERY,40,8558.72641509434,7875.9059829059825,NaN
AK HIDDEN FALLS HATCHERY,45,3.9096045197740112,2.9130434782608696,NaN
CO VALLECITO DAM,51,0.7941176470588235,0.25,0.0
AK HIDDEN FALLS HATCHERY,47,-24.5,NaN,NaN
TN WHITE HOUSE,71,170.54166666666666,112.65555555555555,111.05555555555556
CO VALLECITO DAM,55,3355.3894736842103,2059.1746031746034,2067.5714285714284
NV TUSCARORA,41,45.97860962566845,44.578947368421055,36.69767441860465
AK HIDDEN FALLS HATCHERY,49,1674.3396226415093,1602.940170940171,NaN
NV TUSCARORA,44,190.10695187165774,178.34736842105264,158.0
CO VALLECITO DAM,58,1005.1,1157.5,1259.857142857143
TN WHITE HOUSE,79,1055.375,990.6333333333333,975.4791666666666
NV TUSCARORA,47,0.0,NaN,NaN
TN WHITE HOUSE,11,951.4166666666666,838.4111111111112,1030.3680555555557
TN WHITE HOUSE,13,1559.5416666666667,1605.6444444444444,1583.4375
TN WHITE HOUSE,17,451.8958333333333,378.9111111111111,341.4166666666667
TN WHITE HOUSE,19,139.04166666666666,122.33333333333333,104.99305555555556
AK HIDDEN FALLS HATCHERY,52,435.9481132075472,327.4017094017094,NaN
AK HIDDEN FALLS HATCHERY,55,2295.0330188679245,1567.3418803418804,NaN
TN WHITE HOUSE,81,164.59375,163.98888888888888,152.45833333333334
NV TUSCARORA,51,0.42424242424242425,0.0,NaN
AK HIDDEN FALLS HATCHERY,59,290.70283018867923,106.1025641025641,NaN
CO VALLECITO DAM,67,1893.9473684210527,1639.4285714285713,1406.2857142857142
TN WHITE HOUSE,85,131.625,133.4777777777778,161.34722222222223
TN WHITE HOUSE,87,135.78125,123.2,128.88888888888889
NV TUSCARORA,55,592.475935828877,408.4,401.09302325581393
NV TUSCARORA,59,19.112299465240643,10.2,9.953488372093023
TN WHITE HOUSE,21,181.73958333333334,157.62222222222223,154.86111111111111
TN WHITE HOUSE,23,1536.7395833333333,1099.088888888889,1174.451388888889
TN WHITE HOUSE,25,571.1041666666666,526.9333333333333,493.6875
AK Granite Crk,11,2482.3198198198197,2880.7596153846152,2456.0
AK Granite Crk,13,3631.698198198198,3608.019230769231,3656.5
TN WHITE HOUSE,27,118.33333333333333,59.63333333333333,60.69444444444444
CO VALLECITO DAM,97,5252.4631578947365,5595.269841269841,5708.5
TN WHITE HOUSE,28,37.541666666666664,27.988888888888887,18.92361111111111
AK Granite Crk,14,1775.6936936936936,1259.423076923077,1324.5
AK Granite Crk,16,1699.1486486486488,3919.778846153846,2781.5
AK Granite Crk,18,1347.8309859154929,2.019230769230769,2.0
CO VALLECITO DAM,71,1019.5631578947368,949.1984126984127,1091.5714285714287
TN WHITE HOUSE,91,27.322916666666668,39.166666666666664,45.88194444444444
AK HIDDEN FALLS HATCHERY,67,1191.5141509433963,1050.7350427350427,NaN
CO VALLECITO DAM,99,0.5,NaN,NaN
NV TUSCARORA,85,141.79679144385025,155.7157894736842,170.86046511627907
TN WHITE HOUSE,95,1747.8645833333333,1937.8111111111111,2155.215277777778
CO VALLECITO DAM,79,7372.236842105263,7185.444444444444,7153.214285714285
TN WHITE HOUSE,97,30.864583333333332,29.144444444444446,23.694444444444443
CO VALLECITO DAM,11,3609.3,3757.1190476190477,4074.5714285714284
TN WHITE HOUSE,31,128.09375,88.95555555555555,134.49305555555554
CO VALLECITO DAM,13,9492.326315789474,9448.452380952382,9864.0
NV TUSCARORA,87,1219.9946524064171,1246.4947368421053,1214.3023255813953
AK HIDDEN FALLS HATCHERY,21,1166.9150943396226,1130.8461538461538,NaN
TN WHITE HOUSE,33,528.9270833333334,385.0111111111111,412.1458333333333
CO VALLECITO DAM,17,2471.694736842105,2111.0238095238096,1995.7857142857142
TN WHITE HOUSE,35,237.9375,204.84444444444443,188.57638888888889
TN WHITE HOUSE,38,17979.03125,17822.78888888889,17583.652777777777
TN WHITE HOUSE,1,1199.1458333333333,955.9333333333333,689.4305555555555
AK HIDDEN FALLS HATCHERY,71,387.7358490566038,380.9316239316239,NaN
TN WHITE HOUSE,3,621.3333333333334,537.7,817.9305555555555
AK HIDDEN FALLS HATCHERY,23,3319.419811320755,3216.709401709402,NaN
TN WHITE HOUSE,5,2323.9791666666665,1165.2,975.7291666666666
CO VALLECITO DAM,81,4164.6,4335.571428571428,4398.642857142857
TN WHITE HOUSE,7,2365.09375,1061.888888888889,1107.9652777777778
CO VALLECITO DAM,83,1278.9894736842105,1163.531746031746,1238.2142857142858
TN WHITE HOUSE,9,1196.5729166666667,1170.8222222222223,934.9652777777778
CO VALLECITO DAM,85,438.2578947368421,377.6904761904762,391.64285714285717
AK HIDDEN FALLS HATCHERY,79,4751.117924528302,4716.572649572649,NaN
NV TUSCARORA,71,68.54545454545455,57.44210526315789,65.06976744186046
CO VALLECITO DAM,87,1885.6105263157895,1911.2063492063492,2006.142857142857
AK HIDDEN FALLS HATCHERY,25,1606.872641509434,1407.042735042735,NaN
CO VALLECITO DAM,31,437.61052631578946,631.1746031746031,690.4285714285714
AK HIDDEN FALLS HATCHERY,11,3148.009433962264,3975.940170940171,NaN
CO VALLECITO DAM,1,6196.436842105263,4160.492063492064,3846.3571428571427
CO VALLECITO DAM,21,1491.678947368421,1321.8650793650793,1384.9285714285713
CO VALLECITO DAM,23,6496.921052631579,5683.373015873016,5619.214285714285
CO VALLECITO DAM,3,1935.9263157894736,3380.5793650793653,3985.8571428571427
TN WHITE HOUSE,41,155.6875,113.0111111111111,106.72916666666667
AK HIDDEN FALLS HATCHERY,17,1514.4056603773586,1324.2820512820513,NaN
CO VALLECITO DAM,5,8171.968421052631,4976.873015873016,4881.214285714285
AK HIDDEN FALLS HATCHERY,19,238.3443396226415,211.9059829059829,NaN
NV TUSCARORA,11,963.6951871657755,1049.0,1060.1627906976744
CO VALLECITO DAM,25,2160.426315789474,2071.2301587301586,1974.2857142857142
CO VALLECITO DAM,33,1824.842105263158,1607.2539682539682,1911.5
AK Granite Crk,1,2535.189189189189,1491.6346153846155,1408.0
TN WHITE HOUSE,51,0.8405797101449275,0.9649122807017544,0.5324675324675324
AK HIDDEN FALLS HATCHERY,27,232.0,143.65811965811966,NaN
TN WHITE HOUSE,45,0.13636363636363635,1.0,1.5135135135135136
CO VALLECITO DAM,27,426.5473684210526,287.0,278.85714285714283
CO VALLECITO DAM,7,8618.394736842105,5510.174603174603,5870.0
NV TUSCARORA,13,1589.855614973262,1685.0105263157895,1644.3255813953488
TN WHITE HOUSE,47,7.055555555555555,7.055555555555555,1.65
CO VALLECITO DAM,29,1322.5578947368422,1120.4603174603174,1254.5
CO VALLECITO DAM,9,4159.0526315789475,4641.18253968254,4298.571428571428
NV TUSCARORA,17,364.4652406417112,285.4421052631579,273.90697674418607
AK HIDDEN FALLS HATCHERY,80,2236.3207547169814,2221.4700854700855,NaN
NV TUSCARORA,19,7.796610169491525,18.0,NaN
CO VALLECITO DAM,35,644.4578947368421,594.952380952381,699.1428571428571
AK Granite Crk,3,1227.8468468468468,1902.4903846153845,2727.0
NV TUSCARORA,21,207.54545454545453,202.26315789473685,193.46511627906978
AK HIDDEN FALLS HATCHERY,29,778.4669811320755,655.017094017094,NaN
AK HIDDEN FALLS HATCHERY,82,3159.5754716981132,2535.905982905983,NaN
CO VALLECITO DAM,90,12070.847368421053,11275.150793650793,11404.857142857143
CO VALLECITO DAM,92,21886.715789473685,19751.103174603173,20279.64285714286
NV TUSCARORA,23,903.283422459893,844.2105263157895,814.5813953488372
AK Granite Crk,5,3401.3828828828828,1961.1538461538462,1872.5
TN WHITE HOUSE,55,1317.0416666666667,789.1666666666666,718.5347222222222
CO VALLECITO DAM,37,551.9368421052632,547.5793650793651,590.8571428571429
CO VALLECITO DAM,39,0.0,NaN,NaN
NV TUSCARORA,25,383.32620320855614,339.2105263157895,315.72093023255815
AK Granite Crk,7,3334.936936936937,2671.8365384615386,2076.0
AK Granite Crk,9,1624.2792792792793,1894.7115384615386,1530.0
NV TUSCARORA,27,62.01069518716577,39.50526315789474,36.2093023255814
TN WHITE HOUSE,59,133.125,37.81111111111111,27.743055555555557
NV TUSCARORA,29,235.1283422459893,214.86315789473684,198.02325581395348
AK HIDDEN FALLS HATCHERY,90,10965.17924528302,10666.333333333334,NaN
AK HIDDEN FALLS HATCHERY,92,18959.966981132075,17684.213675213676,NaN
AK HIDDEN FALLS HATCHERY,94,8561.783018867925,8949.153846153846,NaN
AK HIDDEN FALLS HATCHERY,96,4061.1862745098038,4026.3086419753085,NaN
NV TUSCARORA,90,368.28877005347596,374.41052631578947,398.95348837209303
AK HIDDEN FALLS HATCHERY,98,1743.816037735849,1491.5384615384614,NaN
NV TUSCARORA,92,1018.3743315508021,1022.8,978.6744186046511
NV TUSCARORA,94,74.7910447761194,149.05263157894737,0.0
AK HIDDEN FALLS HATCHERY,30,533.1981132075472,560.7435897435897,NaN
NV TUSCARORA,96,616.9893048128342,733.6315789473684,727.1395348837209
NV TUSCARORA,97,85.67857142857143,85.06818181818181,86.16279069767442
AK HIDDEN FALLS HATCHERY,31,346.87264150943395,446.3333333333333,NaN
AK HIDDEN FALLS HATCHERY,33,961.1698113207547,943.3333333333334,NaN
AK HIDDEN FALLS HATCHERY,35,395.00471698113205,358.2991452991453,NaN
AK HIDDEN FALLS HATCHERY,2,6537.514150943396,6639.897435897436,NaN
CO VALLECITO DAM,41,105.73157894736842,142.9126984126984,75.64285714285714
AK HIDDEN FALLS HATCHERY,37,406.33490566037733,418.4188034188034,NaN
AK HIDDEN FALLS HATCHERY,4,5200.740566037736,5309.692307692308,NaN
CO VALLECITO DAM,45,0.7528089887640449,2.4285714285714284,2.6666666666666665
NV TUSCARORA,31,80.64171122994652,92.9578947368421,98.95348837209302
AK HIDDEN FALLS HATCHERY,6,953.0141509433962,642.7777777777778,NaN
AK HIDDEN FALLS HATCHERY,7,4470.367924528302,3371.25641025641,NaN
NV TUSCARORA,32,382.1711229946524,316.5263157894737,288.4418604651163
CO VALLECITO DAM,46,5405.457894736842,5034.928571428572,4905.642857142857
NV TUSCARORA,34,529.0213903743315,469.2421052631579,391.6744186046512
CO VALLECITO DAM,48,254.3736842105263,185.29166666666666,123.61538461538461
NV TUSCARORA,1,1457.3957219251338,1157.0736842105264,1053.6744186046512
AK HIDDEN FALLS HATCHERY,9,4144.433962264151,3638.4358974358975,NaN
NV TUSCARORA,3,495.06417112299465,629.6526315789474,774.1395348837209
NV TUSCARORA,36,81.88235294117646,108.48421052631579,77.81395348837209
NV TUSCARORA,38,7494.272727272727,7405.336842105263,6628.441860465116
NV TUSCARORA,5,1249.4652406417113,781.3157894736842,733.3953488372093
NV TUSCARORA,7,1028.6310160427809,763.8842105263158,743.046511627907
NV TUSCARORA,9,1083.8823529411766,1233.6105263157895,927.0697674418604
AK HIDDEN FALLS HATCHERY,41,203.89150943396226,192.7094017094017,NaN
AK HIDDEN FALLS HATCHERY,42,1144.2216981132076,1144.7521367521367,NaN
AK HIDDEN FALLS HATCHERY,44,720.1415094339623,622.7521367521367,NaN
AK HIDDEN FALLS HATCHERY,46,2864.0235849056603,2673.290598290598,NaN
CO VALLECITO DAM,52,592.5736842105263,478.6984126984127,467.64285714285717
AK HIDDEN FALLS HATCHERY,48,111.14009661835749,42.28787878787879,NaN
NV TUSCARORA,40,2806.572192513369,2657.1684210526314,2474.6511627906975
TN WHITE HOUSE,72,4064.78125,2091.5222222222224,1853.951388888889
CO VALLECITO DAM,54,35.963157894736845,38.41269841269841,49.785714285714285
NV TUSCARORA,42,417.5668449197861,416.1684210526316,416.8837209302326
TN WHITE HOUSE,74,512.8229166666666,439.0444444444444,448.36805555555554
CO VALLECITO DAM,56,1032.0578947368422,517.5396825396825,384.0
NV TUSCARORA,45,1.603960396039604,1.121212121212121,1.2222222222222223
CO VALLECITO DAM,59,585.1947368421053,121.06349206349206,123.35714285714286
NV TUSCARORA,46,728.9786096256685,658.0,639.3255813953489
TN WHITE HOUSE,78,NaN,0.0,0.0
TN WHITE HOUSE,10,1379.1354166666667,1252.6222222222223,1238.0416666666667
TN WHITE HOUSE,12,323.8229166666667,335.4222222222222,321.13194444444446
TN WHITE HOUSE,14,878.5833333333334,595.1444444444444,557.8333333333334
TN WHITE HOUSE,16,735.2708333333334,1127.2777777777778,1240.2152777777778
TN WHITE HOUSE,18,1103.3020833333333,395.65168539325845,133.06666666666666
AK HIDDEN FALLS HATCHERY,51,3.8125,4.362745098039215,NaN
CO VALLECITO DAM,60,65.32631578947368,58.45238095238095,61.92857142857143
AK HIDDEN FALLS HATCHERY,54,24.066037735849058,25.666666666666668,NaN
AK HIDDEN FALLS HATCHERY,56,727.9433962264151,346.36752136752136,NaN
TN WHITE HOUSE,80,NaN,28.0,28.0
AK HIDDEN FALLS HATCHERY,58,527.316037735849,607.008547008547,NaN
TN WHITE HOUSE,82,1058.0416666666667,813.7111111111111,777.6388888888889
NV TUSCARORA,52,99.54010695187166,75.49473684210527,59.27906976744186
NV TUSCARORA,54,7.6725146198830405,7.938271604938271,8.81578947368421
NV TUSCARORA,56,201.07486631016042,57.705263157894734,6.534883720930233
NV TUSCARORA,58,122.52229299363057,178.8625,162.44736842105263
TN WHITE HOUSE,20,201.9375,189.16666666666666,205.29861111111111
TN WHITE HOUSE,22,521.5729166666666,359.24444444444447,302.43055555555554
AK Granite Crk,10,2900.801801801802,2888.375,2841.5
TN WHITE HOUSE,24,420.3333333333333,266.7111111111111,339.81944444444446
TN WHITE HOUSE,26,627.5416666666666,450.7,321.47222222222223
AK Granite Crk,12,912.2252252252252,1049.701923076923,1184.5
TN WHITE HOUSE,29,305.9895833333333,213.86666666666667,226.42361111111111
AK HIDDEN FALLS HATCHERY,60,154.25943396226415,147.9059829059829,NaN
AK Granite Crk,17,1186.7117117117118,1008.0673076923077,1060.0
AK Granite Crk,19,252.85585585585585,186.46153846153845,198.0
CO VALLECITO DAM,72,16519.71052631579,10453.65873015873,9828.0
TN WHITE HOUSE,90,195.4375,172.44444444444446,166.4375
TN WHITE HOUSE,92,1016.6458333333334,908.1111111111111,819.9583333333334
NV TUSCARORA,60,34.224598930481285,34.23157894736842,30.046511627906977
CO VALLECITO DAM,74,2761.5105263157893,2817.531746031746,2998.9285714285716
TN WHITE HOUSE,94,101.61290322580645,95.63414634146342,184.83333333333334
TN WHITE HOUSE,96,592.5625,594.1111111111111,604.4583333333334
CO VALLECITO DAM,78,0.42857142857142855,1.0,1.0
TN WHITE HOUSE,98,3.088888888888889,2.7,2.0
NV TUSCARORA,67,458.8288770053476,391.17894736842106,330.3488372093023
CO VALLECITO DAM,10,4797.88947368421,4854.539682539683,4699.071428571428
CO VALLECITO DAM,12,1167.6315789473683,1270.968253968254,1372.7142857142858
TN WHITE HOUSE,30,156.48958333333334,159.94444444444446,163.65277777777777
CO VALLECITO DAM,14,4437.684210526316,3288.1349206349205,3201.8571428571427
TN WHITE HOUSE,32,912.34375,445.47777777777776,394.55555555555554
TN WHITE HOUSE,34,738.4270833333334,552.2777777777778,540.5277777777778
CO VALLECITO DAM,16,2527.842105263158,3892.6190476190477,4595.571428571428
AK Granite Crk,20,489.5210526315789,600.7980769230769,492.5
TN WHITE HOUSE,36,99.0,71.83333333333333,118.84027777777777
CO VALLECITO DAM,18,3139.561497326203,473.02777777777777,1.0
CO VALLECITO DAM,19,534.4315789473684,442.4920634920635,451.7857142857143
TN WHITE HOUSE,2,2203.53125,2127.2555555555555,2150.0625
AK HIDDEN FALLS HATCHERY,72,7779.231132075472,5504.316239316239,NaN
TN WHITE HOUSE,4,1163.34375,1090.4222222222222,1102.3333333333333
AK HIDDEN FALLS HATCHERY,74,1632.0330188679245,1879.08547008547,NaN
TN WHITE HOUSE,6,498.3958333333333,278.6333333333333,217.34027777777777
CO VALLECITO DAM,80,2536.742105263158,2327.468253968254,2384.0
CO VALLECITO DAM,82,3816.657894736842,3028.253968253968,2886.9285714285716
TN WHITE HOUSE,8,1189.3229166666667,1167.5,1132.673611111111
AK HIDDEN FALLS HATCHERY,78,1.0,NaN,NaN
NV TUSCARORA,72,2038.374331550802,1249.042105263158,1212.860465116279
NV TUSCARORA,74,519.8983957219251,499.5684210526316,481.51162790697674
AK HIDDEN FALLS HATCHERY,10,4255.33962264151,4500.8376068376065,NaN
AK HIDDEN FALLS HATCHERY,12,1441.301886792453,1618.2393162393162,NaN
NV TUSCARORA,78,0.0,NaN,NaN
AK HIDDEN FALLS HATCHERY,13,5394.75,5732.282051282052,NaN
NV TUSCARORA,79,710.7647058823529,707.5578947368421,698.8604651162791
CO VALLECITO DAM,20,1173.3,1240.2777777777778,1322.5
AK HIDDEN FALLS HATCHERY,14,2429.7169811320755,1903.2735042735044,NaN
CO VALLECITO DAM,2,12431.305263157894,12347.761904761905,12379.857142857143
CO VALLECITO DAM,22,2517.5315789473684,1989.857142857143,1945.4285714285713
TN WHITE HOUSE,40,2627.75,2451.211111111111,2295.4513888888887
AK HIDDEN FALLS HATCHERY,16,3150.2877358490564,4200.709401709401,NaN
TN WHITE HOUSE,42,587.0833333333334,539.0555555555555,538.4097222222222
NV TUSCARORA,10,1326.3101604278074,1421.2,1473.9767441860465
CO VALLECITO DAM,24,1627.7526315789473,1443.357142857143,1532.2142857142858
CO VALLECITO DAM,4,7866.336842105263,7655.150793650793,7745.428571428572
AK HIDDEN FALLS HATCHERY,18,1845.6288659793815,47.888888888888886,NaN
CO VALLECITO DAM,26,2987.2684210526318,2193.4206349206347,2199.9285714285716
NV TUSCARORA,12,343.24064171122996,369.4736842105263,363.5813953488372
CO VALLECITO DAM,6,1665.3105263157895,1186.3333333333333,1020.1428571428571
TN WHITE HOUSE,44,280.75,267.8666666666667,207.15277777777777
CO VALLECITO DAM,8,9378.621052631579,8837.253968253968,8788.92857142857
TN WHITE HOUSE,46,1087.2395833333333,736.5444444444445,697.6180555555555
NV TUSCARORA,14,632.9946524064171,476.4526315789474,441.3255813953488
CO VALLECITO DAM,28,166.71052631578948,101.6984126984127,83.42857142857143
NV TUSCARORA,16,1085.9411764705883,1091.9473684210527,1065.0232558139535
NV TUSCARORA,18,549.0,129.33333333333334,54.25
AK HIDDEN FALLS HATCHERY,81,4167.603773584906,4209.3675213675215,NaN
AK HIDDEN FALLS HATCHERY,83,803.9198113207547,740.6153846153846,NaN
AK HIDDEN FALLS HATCHERY,85,650.5283018867924,587.6752136752136,NaN
CO VALLECITO DAM,91,9358.852631578948,8821.357142857143,9293.42857142857
AK HIDDEN FALLS HATCHERY,87,5267.240566037736,5313.717948717948,NaN
CO VALLECITO DAM,93,8756.436842105262,8635.698412698413,8710.857142857143
